Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10n","CAPC2012X65N",30.988000,32.708000,180.000000,top
"C2","10n","CAPC2012X65N",30.820000,28.448000,180.000000,top
"C3","10n","CAPC2012X65N",30.792000,23.876000,180.000000,top
"C4","10u","CAPC2012X140N",53.556000,21.844000,0.000000,top
"C5","10u","CAPC2012X140N",52.832000,34.036000,0.000000,top
"D1","1N5819W","SODFL3516X120N",8.636000,33.020000,90.000000,top
"D2","1N5819W","SODFL3516X120N",8.636000,25.400000,90.000000,top
"D3","1N5819W","SODFL3516X120N",13.716000,33.020000,90.000000,top
"D4","1N5819W","SODFL3516X120N",13.716000,25.400000,90.000000,top
"D5","1N5819W","SODFL3516X120N",19.304000,33.020000,90.000000,top
"D6","1N5819W","SODFL3516X120N",19.304000,25.400000,90.000000,top
"IC1","TP4056-42-ESOP8","SOIC127P600X175-9N",54.864000,27.940000,90.000000,top
"R1","1K","RESC1005X40N",25.400000,33.020000,0.000000,top
"R2","1K","RESC1005X40N",25.400000,28.448000,0.000000,top
"R3","1K","RESC1005X40N",25.400000,23.876000,0.000000,top
"R4","10K","RESC1005X40N",36.618000,29.972000,180.000000,top
"R5","390k","RESC1005X40N",42.672000,25.400000,90.000000,top
"R6","100k","RESC1005X40N",42.672000,30.988000,90.000000,top
"R7","10K","RESC1005X40N",36.576000,25.908000,0.000000,top
"R8","20K","RESC1005X40N",48.260000,27.940000,90.000000,top
"SW1","JS202011SCQN","JS202011SCQN",5.588000,10.160000,0.000000,top
"JS1","KF350-3.5-2P","KF350352P",14.478000,9.398000,0.000000,top
"JS2","KF350-3.5-2P","KF350352P",24.638000,9.398000,0.000000,top
"J_BAT1","PH-2AK","SHDR2W52P0X200_1X2_600X460X630P",67.564000,8.128000,90.000000,top
"J_PV1","WJ500V-5.08-2P","WJ500V5082P",52.832000,8.636000,0.000000,top
"J_SENSOR1","DS1133-S60APS","DS1133S60APS",42.672000,7.620000,0.000000,top
"P1","CONN_14_1","CONN14_FP1",30.734000,40.640000,180.000000,top
"P2","CONN_14_2","CONN14_FP2",30.734000,20.320000,180.000000,top
