Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10n","CAPC2012X65N",42.519600,31.242000,180.000000,top
"C2","10n","CAPC2012X65N",42.351600,27.482800,180.000000,top
"C3","10n","CAPC2012X65N",42.323600,22.910800,180.000000,top
"C4","10u","CAPC2012X140N",65.087600,20.878800,0.000000,top
"C5","10u","CAPC2012X140N",64.363600,33.070800,0.000000,top
"D1","1N5819W","SODFL3516X120N",20.167600,32.054800,90.000000,top
"D2","1N5819W","SODFL3516X120N",20.167600,24.434800,90.000000,top
"D3","1N5819W","SODFL3516X120N",25.247600,32.054800,90.000000,top
"D4","1N5819W","SODFL3516X120N",25.247600,24.434800,90.000000,top
"D5","1N5819W","SODFL3516X120N",30.835600,32.054800,90.000000,top
"D6","1N5819W","SODFL3516X120N",30.835600,24.434800,90.000000,top
"IC1","TP4056-42-ESOP8","SOIC127P600X175-9N",66.395600,26.974800,0.000000,top
"R1","1K","RESC1005X40N",36.880800,31.648400,0.000000,top
"R2","1K","RESC1005X40N",36.931600,27.482800,0.000000,top
"R3","1K","RESC1005X40N",36.931600,22.910800,0.000000,top
"R4","10K","RESC1005X40N",48.149600,29.006800,180.000000,top
"R5","390k","RESC1005X40N",54.203600,24.434800,90.000000,top
"R6","100k","RESC1005X40N",54.203600,30.022800,90.000000,top
"R7","10K","RESC1005X40N",48.107600,24.942800,0.000000,top
"R8","20K","RESC1005X40N",59.791600,26.974800,90.000000,top
"SW1","JS202011SCQN","JS202011SCQN",17.678400,8.636000,0.000000,top
"JS2", "KF350-3.5-2P", "KF350352P" , 103.734, 97.333, 0.000, top
"JS1", "KF350-3.5-2P", "KF350352P" , 93.574, 97.333, 0.000, top
"J_SENSOR1", "DS1133-S60APS","DS1133S60APS" , 70.764, 87.122, 2700.000, top
"J_BAT1", "PH-2AK", "SHDR2W52P0X200_1X2_600X460X630P" , 133.198, 98.857, 900.000, top
"P2", "CONN_14_2", "CONN14_FP1" , 105.410, 86.360, 1800.000, top
"P1", "CONN_14_1", "CONN14_FP2" , 105.410, 66.040, 1800.000, top
"J_PV1", "WJ500V-5.08-2P", "WJ500V5082P" , 117.196, 98.095, 0.000, top
